MAT_TYPE_CODE,MAT_TYPE_NAME,MAT_TYPE_DESC
MT00259,C1100R-H0.64x77,PRESS
MT00260,C2680R-H Sn0.64x30,PRESS
MT00261,C2600R-1/2H Sn0.64x48.5,PRESS
MT00262,C2600R-1/2H Sn0.64x48.5,PRESS
MT00263,C1100R-H0.64x27.5,PRESS
MT00264,C1100R-H0.64x80,PRESS
MT00265,C1100R-H Ag W-SP30.64x94,PRESS
MT00266,C1100-1/2H Ag0.6x22,PRESS
MT00267,C2680-H EP0.64x41,PRESS
MT00268,C1100R-H0.8x52,PRESS
MT00269,C1100R-H2.0/0.8x61(41/20),PRESS
MT00270,C1100R-H2.0/0.8x42(21/21),PRESS
MT00271,C1100R-1/2H Ag S-SP3 (Bottom)0.5x26,PRESS
MT00272,C1100R-1/2H Ag S-SP3 (Bottom)0.5x26,PRESS
MT00273,C2680R-1/2H Sn0.64x40,PRESS
MT00274,C2680R-1/2H Sn0.64x40,PRESS
MT00275,C1100RC-1/2H Ag  W-SP20.64x48,PRESS
MT00276,C1100R-1/2H0.64x37,PRESS
MT00277,C1100R-1/2H0.64x51,PRESS
MT00278,C1100RC-1/2H Ag  S-SP3(Bottom)0.64x66,PRESS
MT00279,C1100RC-1/2H Ag  S-SP3(Top)0.64x26,PRESS
MT00280,C2600R 1/2H Sn Tin Plate0.64x34,PRESS
MT00281,C1100RC-1/2H Ag  S-SP3 (Top)0.4x38,PRESS
MT00282,C1100RC-1/2H Ag  S-SP2 (Top)0.64x23.5,PRESS
MT00283,C1100RC-1/2H Ag  S-SP2 (Top)0.64x54,PRESS
MT00284,C1100R-1/2H Ag  S-SP2 (Top)0.64x22,PRESS
MT00285,C1100RC-1/2H Ag  S-SP2 (Top)0.64x78,PRESS
MT00286,C1100RC-1/2H Ag  S-SP2 (Top)0.64x82,PRESS
MT00287,C2600R 1/2H Sn Tin Plate0.64x60,PRESS
MT00288,C2600R 1/2H Sn Tin Plate0.64x60,PRESS
MT00289,C1100RC-1/2H Ag  S-SP2 (Top)0.64x77,PRESS
MT00290,C1100RC-1/2H Ag  S-SP2 (Top)0.64x77,PRESS
MT00291,MAX251-EH Ag S-SP20.15x17,PRESS
MT00292,C2600R 1/2H Sn Tin Plate0.64x62,PRESS
MT00293,C1100R-1/2H0.64x100,PRESS
MT00294,C1100R-1/2H0.64x67,PRESS
MT00295,C1100R-1/2H0.64x75,PRESS
MT00296,C2600R 1/2H Sn Tin Plate0.64x64,PRESS
MT00297,C1100R-1/2H0.64x55,PRESS
MT00298,C1100R-1/2H0.64x56,PRESS
MT00299,C1100R-1/2H0.64x44,PRESS
MT00300,C1100RC-1/2H0.64x148,PRESS
MT00301,C1100RC-1/2H0.64x152.5,PRESS
MT00302,C1100RC-1/2H0.64x152.5,PRESS
MT00303,C2600R 1/2H Sn Tin Plate0.64x56,PRESS
MT00304,C2600R 1/2H Sn Tin Plate0.64x56,PRESS
MT00305,C2600R 1/2H Sn Tin Plate0.64x56,PRESS
MT00306,C2600R 1/2H Sn Tin Plate0.64x56,PRESS
MT00307,C2600R 1/2H Sn Tin Plate0.64x161,PRESS
MT00308,C2600R 1/2H Sn Tin Plate0.64x161,PRESS
MT00309,C2600R 1/2H Sn Tin Plate0.64x55,PRESS
MT00310,C2600R 1/2H Sn Tin Plate0.64x55,PRESS
MT00311,C2600R 1/2H Sn Tin Plate0.64x55,PRESS
MT00312,C2600R 1/2H Sn Tin Plate0.64x55,PRESS
MT00313,C1100RC-1/2H Ag  S-SP2 (Top)0.6x43,PRESS
MT00314,C1100RC-1/2H Ag  S-SP2 (Top)0.6x43,PRESS
MT00315,C1100R-1/2H0.64x80,PRESS
MT00316,C1100R-1/2H0.64x74,PRESS
MT00317,C1100R-1/2H Ag S-SP3 (Bottom)0.5x36,PRESS
MT00318,C1100R-1/2H Ag S-SP3 (Bottom)0.5x36,PRESS
MT00319,C1100R-1/2H Ag S-SP3 (Bottom)0.5x36,PRESS
MT00320,C2600R 1/2H Sn Tin Plate0.64x156,PRESS
MT00321,C2600R 1/2H Sn Tin Plate0.64x156,PRESS
MT00322,C1100RC-1/2H0.6x43,PRESS
MT00323,C2600R 1/2H Sn Tin Plate0.64x115,PRESS
MT00324,C2600R 1/2H Sn Tin Plate0.64x72,PRESS
MT00325,C1100R-1/2H Ag S-SP3 (Bottom)0.64x76,PRESS
MT00326,C1100R-1/2H Ag S-SP3 (Bottom)0.64x90,PRESS
MT00327,C2600R 1/2H Sn Tin Plate0.64x80,PRESS
MT00328,C2600R 1/2H Sn Tin Plate0.64x80,PRESS
MT00329,C1100R-1/2H0.8x83,PRESS
MT00330,C1100R-1/2H0.64x83,PRESS
MT00331,C1100R-1/2H Ag S-SP3 (Bottom)0.8x57,PRESS
MT00332,C1100R-1/2H Ag S-SP3 (Bottom)0.8x57,PRESS
MT00333,C1100R-1/2H0.64x117,PRESS
MT00334,C2600R 1/2H Sn Tin Plate0.64x65,PRESS
MT00335,C2600R 1/2H Sn Tin Plate0.64x65,PRESS
MT00336,EGC-QS 0.8x151,null
MT00337,POM LV450 (NATURAL),TENAC-C
MT00338,PMMA 80N (KM92084 SMOKE),DELPET
MT00339,POM GC-25+M90-07 K30680 (B),DURACON
MT00340,POM M90-44+M90-07 K5967 (GRE),DURACON
MT00341,PP OLEFORM TA (NATURAL),DYNACHISSOPP
MT00342,TERMINAL (NILES),null
MT00343,C110012H0.64x20,PRESS
MT00344,C2680R-1/2H 0.64x31MBSn,PRESS
MT00345,C2680R-1/2H 0.64x27MBSn,PRESS
MT00346,C2680R-1/2H 0.64x24MBSn,PRESS
MT00347,PBT H01 C7000LE (EB-001 BLACK),DURANEX
MT00348,PA66 CM3001G-30+M030 T5 (BR),AMILAN
MT00349,PBT H01 C7000LE (EG-006 GRAY),DURANEX
MT00350,C2801 1/2H Ag Sp2 0.64x84,PRESS
MT00351,PA6 1015GU9 (TDJB0299NG BLACK),UBE NYLON
MT00352,C2680R-1/2H 0.64x32 Sn,PRESS
MT00353,C2680R-1/2H 0.64x44,PRESS
MT00354,C2680R-1/2H 0.64x43,PRESS
MT00355,C1100R SN 0.64x40,PRESS
MT00356,C1100R-H 0.8x96,PRESS
MT00357,GH25(N)60%+ M90-44 (N)40%,null
MT00358,C2600R-1/2H 0.64*60*COIL,null
MT00359,C1100H-1/2H 0.8*79*COIL,null
MT00360,C1100-1/2H 0.64*75*COIL,null
MT00361,C2600R-1/2H 0.64*76*COIL,null
MT00362,C1100R-H 0.64x75xCOIL,null
MT00363,C1100R-H 0.64x60xCOIL,null
MT00364,PBT HF-HS1 (NATURAL),TORAYCON
MT00365,TPE 5557 (HB029 BLACK),HYTREL
MT00366,C2680R-1/2H 0.64x33,PRESS
MT00367,ABS 470Y MH1 (NB385 BLACK),TOYOLAC
MT00368,TERMINAL(MSC),null
MT00369,C1100R-1/2H 0.64x87xCOIL,RF10
MT00370,C1100R-1/2H Ag SP2 0.4x38,PRESS
MT00371,C1100R-1/2H Ag SP3 0.64x103,PRESS
MT00372,C1100R-1/2H Ag SP3 0.64x92,PRESS
MT00373,C1100R-1/2H Ag SP3 0.64x101,PRESS
MT00374,C1100R-1/2H Ag SP3 0.64x90,PRESS
MT00375,TPE 4047L36 (NATURAL),HYTREL
MT00376,C1100R-H Ag S-SP3 0.64x94,PRESS
MT00377,C2680R-1/2H  Ag3 0.64x30,MODEL.ESF85 TYPE
MT00378,POM 5050 (NATURAL),TENAC
MT00379,PC/ABS T85XF (704307 GRAY),BAYBLEND
MT00380,PP TX239E (BLACK),GSCPP
MT00381,C1100R-1/2H Ag SP3 0.64x40,PRESS
MT00382,C1100R-1/2H Ag SP2 0.64x35,PRESS
MT00383,C2680R-SN 0.64*47*COIL,PRESS
MT00384,C2680R-SN 0.64*35*COIL,PRESS
MT00385,C2680R-SN 0.64*29*COIL,PRESS
MT00386,C1100-AU 0.64*29*COIL,PRESS
MT00387,C2680R-1/2H Sn  0.64*21*COIL,PRESS
MT00388,C2680R-1/2H Au  0.64*21*COIL,PRESS
MT00389,C2680R-SN 0.64*21*COIL,PRESS
MT00390,C1100R-1/2H Au-Sn  0.64*36*COIL,PRESS
MT00391,C1100R-1/2H Sn  0.64*36*COIL,PRESS
MT00392,C2680R-1/2H Sn  0.64*24*COIL,PRESS
MT00393,C1100R-1/2H Sn  0.64*37*COIL,PRESS
MT00394,C2600R-1/2H Sn 0.64*44*COIL,PRESS
MT00395,C2600R-1/2H Sn  0.64*25*COIL,PRESS
MT00396,C2600R-1/2H Sn  0.64*31*COIL,PRESS
MT00397,PA6 1015GC6 (NATURAL),null
MT00398,PBT 3390 (ED3002 BLACK),DURANEX
MT00399,TERMINAL (PIDTH),null
MT00400,PP/PE MOPLEN EP-540+MB PEXT 10900 CMT,null
MT00401,C2680R-H SN 0.64*67*COIL,C57
MT00402,C5210R 1/2H 0.15x18,PRESS
MT00403,C1100R-1/2H Sn 0.64x39.6xcoil,PRESS
MT00404,C1100R-1/2H 0.64x31.2xCoil,PRESS
MT00405,C5210R-EH Ag S-SP2  0.18x24,PRESS
MT00406,C1100R-1/2H Sn 0.64x49xCoil,Press
MT00407,C2600R-1/2H Sn 0.64x57xC,Press
MT00408,C1100R-1/2H Ag S-SP2 0.64x65xCoil,PRESS
MT00409,Be Cu R07 Ag S-SP2 0.1x17.5xCoil,PRESS
MT00410,PP OLEFORM TC (NATURAL),DYNACHISSOPP
MT00411,C1100R-1/2H Ag W-SP2  0.3x39,PRESS
MT00412,C1100R-H1/2 S-SP2  0.6x26,PRESS
MT00413,C5210R-1/2H Ag W-SP2  0.2x29xCOIL,PRESS
MT00414,C2680R-H Sn 0.64x48.5,PRESS
MT00415,C5210R-1/2H Ag W-SP2  0.2x24xCOIL,PRESS
MT00416,C1100R-1/2H Ag W-SP2  0.3x39xCOIL,null
MT00417,C1100R-1/2H Ag W-SP2 0.3x39,PRESS
MT00418,C1100R-1/2H Ag W-SP2 0.3x38,PRESS
MT00419,C5210R-1/2H Ag 0.2x24,PRESS
MT00420,PBT 5101G-15 (NATURAL),TORAYCON
MT00421,C2680R-H Sn 0.64*48.5,PRESS
MT00422,C1100R-1/2H Ag W-SP2 0.3x38xCoil,PRESS
MT00423,C5210R-H Au 0.2x24xCoil,Press
MT00424,C1720R-HMB Ag S-SP2 0.15*14*COIL,PRESS
MT00425,C1100R-1/2H Ag 0.60*27.5*coil,PRESS
MT00426,PBT 4130F-104K (BLACK),LONGLITE
MT00427,ABS 470Y MH1 (B1 BLACK),TOYOLAC
MT00428,PC 2405 (550115 CLEAR),MAKROLON
MT00429,PBT 1401X06 (YB015 BLACK),TORAYCON
MT00430,PC S-3000R (9001 BLACK),IUPILON
MT00431,C2680R-H Sn 0.64x48.5xcoil,PRESS
MT00432,PBT 1401X06 (YG172 GRAY),TORAYCON
MT00433,PA66 CR103+LC020 A33850M (B),LEONA
MT00434,PA66 CR103+LC020 M22000M (G),LEONA
MT00435,PA66 CR103+LC020 M53000M (BR),LEONA
MT00436,PA66 CR103+LC020 M88000M (BL),LEONA
MT00437,C1100R-1/2H Ag S-SP2 0.64*75.0*COIL,PRESS
MT00438,C1100R-1/2H Ag S-SP2 0.64*77.0*COIL,PRESS
MT00439,C1100R-1/2H Ag S-SP2 0.64*71.5*COIL,PRESS
MT00440,C1100R-1/2H  0.64x29xCoil,Press
MT00441,PA6 CM1011G-30+M030 T5441 (BR),AMILAN
MT00442,C2600R-1/2H Sn 0.64*64*COIL,PRESS
MT00443,C2600R-1/2H Sn 0.64*53*COIL,PRESS
MT00444,C2600R-H Sn 0.64*30*COIL,PRESS
MT00445,C1100R-1/2H Ag 0.64*96*COIL,PRESS
MT00446,PA66 CM3801G-15 (NATURAL),AMILAN
MT00447,C2600R-1/2H Sn 0.64x77xcoil,PRESS
MT00448,C1100R-1/2H  AG S-SP2 0.64*76,PRESS
MT00449,PPA AS1145 (HSBK 324 BLACK),AMODEL
MT00450,C1100R-1/2H  AG S-SP2 0.64*76,PRESS
MT00451,C1100R-1/2H W-SP1 0.64x25,PRESS
MT00452,C2600R-1/2H Sn 0.64*118*COIL,PRESS
MT00453,ABS 470YMH1B1(B)/PC L1225Y(W),DOUBLE INJECTION
MT00454,PA66 CM3001G-33 (NATURAL),AMILAN
MT00455,C2680R-H Sn 0.64x45xCOIL,PRESS
MT00456,PA66 CM3801G-15 (B1 BLACK),AMILAN
MT00457,C1100R-1/2H AgS-SP2 0.64x71.5,PRESS
MT00458,C1100R-1/2H AgW-SP2 0.64x71.5,PRESS
MT00459,C1100R-1/2 Ag S SP2 0.64x79,PRESS
MT00460,C1100R-1/2H AgW-SP2  0.64x75,PRESS
MT00461,C1100R-1/2H Ag S-SP2 (U)(SPM) 0.64*77,PRESS
MT00462,C1100R-1/2H Ag S-SP2 (U)(SPM)0.64*79,PRESS
MT00463,PA66 CM3001G-30+M050 G1 (G),AMILAN
MT00464,PA66 R530H (BK08 Q555 BLACK),VYDYNE
MT00465,POM F20-03 (E9001 BLACK),IUPITAL
MT00466,ABS E1500 (TJB2888T BLACK),TECHNO MUH
MT00467,C2680R-H Sn 0.64x28xCOIL,PRESS
MT00468,PA66 70G30HSLR (NC010 NATURAL),ZYTEL
MT00469,ABS 470YMH1NB385(B)/PC S3000UR7790H(W),DOUBLE INJECTION
MT00470,C1100R-1/2H Ag W-SP2 0.64x79,PRESS
MT00471,OLIN7025R-TM03 0.2x18xCOIL,VALEO COMFORT
MT00472,C2680R-1/2H (SPM) 0.64x20xCOIL,17M-CRV
MT00473,PA6 CM1011G-30+M050 Y0001 (Y),AMILAN
MT00474,PBT 5101H01 (NATURAL),TORAYCON
MT00475,PC/PET GMB1110 (9010 BLACK),IUPILON
MT00476,PBT 3105 (ED3002 BLACK),DURANEX
MT00477,PBT HF-HS1 CS7000NY (NE-7000 NATURAL),DURANEX
MT00478,PA66 CM3801G-15 (S0001 BLUE),AMILAN
MT00479,PBT 2092 (ED3002 BLACK),DURANEX
MT00480,ABS 470YMH1NB385(B)/PC S3000URR7F4Q(W),DOUBLE INJECTION
MT00481,C1020R-1/2H AgNi  SP3 0.5x26xCoil,PRESS
MT00482,PBT HF-HS1 CS7000NY (EG-7006 GRAY),DURANEX
MT00483,C1020R-1/2H  Ag/Ni Inlay 0.5x26xCoil,J36A model
MT00484,"C1100R-H AgW0.64x91xcoil/2-3um(U),1umUp(D)",PASAP  :  MODEL 690A
MT00485,PA66 CR302+LC020 M88000M (BL),LEONA
MT00486,PC/ABS MB2213R (9001 BLACK),IUPILON
MT00487,PA66 1402SH (XA1 NATURAL),LEONA
MT00488,PA6 1013NW8 (NATURAL),UBE NYLON
MT00489,ABS TK-31NPP1017D(G)/PMMA VH001(N),2-STEP INJECTION
MT00490,PMMA VH (001 NATURAL),ACRYPET
MT00491,PC L-1225Z (QF20411ZH RED),PANLITE
MT00492,ABS E1500 (TJB0728T BLACK),TECHNO MUH
MT00493,"C1100R-H AgW0.64x98xcoil/2-3um(U),1umUp(D)",null
MT00494,PC H3000-Q8053(G)/S2000U(N),2-STEP INJECTION
MT00495,C2680R-H AG 0.5UM 0.64x67xCOIL,PRESS RENEVAL DIE#2
MT00496,PC S-2000U (NATURAL),IUPILON
MT00497,PC S-2000U (Q7039 WHITE),IUPILON
MT00498,PC H3000-Q8053(G)/S2000UQ7039(W),2-STEP INJECTION
MT00499,ABS TK-31 (N1796 BLACK),BULKSAM
MT00500,ABS E1500 (TJB0148T BLACK),TECHNO MUH
MT00501,WAIT  MATERIAL NAME,null
MT00502,PA66 R530H BK0201,null
MT00503,C1100R-1/2H Sn 0.64x39.6xCoil,MODEL : 014B
MT00504,C1100R-1/2H  0.64x36xCoil,model : 014B
MT00505,C2680R-H  Sn 0.64x32xCoil,MODEL J59
